Nombre de Propiedad,Etiqueta,Tipo,Grupo,Descripción
hs_date_entered_opportunity,Date entered 'Oportunidad (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact entered the 'Oportunidad' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_entered_other,Date entered 'Otra (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact entered the 'Otra' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_entered_salesqualifiedlead,Date entered 'Lead calificado por ventas (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact entered the 'Lead calificado por ventas' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_entered_subscriber,Date entered 'Suscriptor (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact entered the 'Suscriptor' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_exited_customer,Date exited 'Cliente (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact exited the 'Cliente' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_exited_evangelist,Date exited 'Evangelizador (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact exited the 'Evangelizador' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_exited_lead,Date exited 'Lead (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact exited the 'Lead' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_exited_marketingqualifiedlead,Date exited 'Marketing Qualified Lead (Lifecycle Stage Pipeline)',datetime,contact_activity,"The date and time when the contact exited the 'Marketing Qualified Lead' stage, 'Lifecycle Stage Pipeline' pipeline"
hs_date_exited_opportunity,Date exited 'Oportunidad (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact exited the 'Oportunidad' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_exited_other,Date exited 'Otra (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact exited the 'Otra' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_exited_salesqualifiedlead,Date exited 'Lead calificado por ventas (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact exited the 'Lead calificado por ventas' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_exited_subscriber,Date exited 'Suscriptor (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact exited the 'Suscriptor' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_document_last_revisited,Recent Document Revisit Date,datetime,contactinformation,The last time a shared document (presentation) was accessed by this contact
hs_email_bad_address,Invalid email address,bool,emailinformation,The email address associated with this contact is invalid.
hs_email_bounce,Marketing emails bounced,number,emailinformation,The number of marketing emails that bounced for the current email address. This is automatically set by HubSpot.
hs_email_click,Marketing emails clicked,number,emailinformation,The number of marketing emails which have had link clicks for the current email address. This is automatically set by HubSpot.
hs_email_customer_quarantined_reason,Email address quarantine reason,enumeration,emailinformation,The reason why the email address has been quarantined.
hs_email_delivered,Marketing emails delivered,number,emailinformation,The number of marketing emails delivered for the current email address. This is automatically set by HubSpot.
hs_email_domain,Email Domain,string,contactinformation,A contact's email address domain
hs_email_first_click_date,First marketing email click date,datetime,emailinformation,The date of the earliest link click for any marketing email to the current email address. This is automatically set by HubSpot.
hs_email_first_open_date,First marketing email open date,datetime,emailinformation,The date of the earliest open for any marketing email to the current email address. This is automatically set by HubSpot.
hs_email_first_reply_date,First marketing email reply date,datetime,emailinformation,The date of the earliest reply for any marketing email to the current email address. This is automatically set by HubSpot.
hs_email_first_send_date,First marketing email send date,datetime,emailinformation,The date of the earliest delivery for any marketing email to the current email address. This is automatically set by HubSpot.
hs_email_hard_bounce_reason,Email hard bounce reason,string,emailinformation,"The issue that caused a contact to hard bounce from your emails. If this is an error or a temporary issue, you can unbounce this contact from the contact record."
hs_email_hard_bounce_reason_enum,Email hard bounce reason,enumeration,emailinformation,"The issue that caused a contact to hard bounce from your emails. If this is an error or a temporary issue, you can unbounce this contact from the contact record."
